Condition,Url,Record,login,theme
public,https://www.facebook.com/groups/1738874509748244/about/,X,X,T-Vape
public,https://www.facebook.com/groups/536578196711426/about/,X,X,T-Vape
public,https://www.facebook.com/groups/494956250994472/about/,X,X,T-Vape
public,https://www.facebook.com/groups/534756263605899/about/,X,X,T-Vape
public,https://www.facebook.com/groups/173559403290632/about/,X,X,T-Vape
public,https://www.facebook.com/groups/879990452188259/about/,X,X,T-Vape
public,https://www.facebook.com/groups/657803371341503/about/,X,X,T-Vape
public,https://www.facebook.com/groups/180510289275675/about/,X,X,T-Vape
public,https://www.facebook.com/groups/427986687940681/about/,X,X,T-Vape
public,https://www.facebook.com/groups/248356249450675/about/,X,X,T-Vape
public,https://www.facebook.com/groups/158174941606021/about/,X,X,T-Vape
public,https://www.facebook.com/groups/2246181262317418/about/,X,X,T-Vape
public,https://www.facebook.com/groups/465538043895438/about/,X,X,T-Vape
public,https://www.facebook.com/groups/294631377952326/about/,X,X,T-Vape
public,https://www.facebook.com/groups/1849216928464198/about/,X,X,T-Vape
public,https://www.facebook.com/groups/2010836342513864/about/,X,X,T-Vape
public,https://www.facebook.com/groups/536578196711426/?ref=br_rs,X,X,T-Vape
public,https://www.facebook.com/groups/248356249450675/?ref=br_rs,X,X,T-Vape
public,https://www.facebook.com/groups/2033882283544609/?ref=br_rs,X,X,T-Vape
public,https://www.facebook.com/groups/824597991207667/?ref=br_rs,X,X,T-Vape
public,https://www.facebook.com/groups/568013333637874/about/,X,X,T-Vape
public,https://www.facebook.com/groups/2091258187810560/?ref=br_rs,X,X,T-Vape
